speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
27925,urn:lsid:nmbe.ch:spidersp:032135,Salticidae,Acragas,hieroglyphicus,,G. W. Peckham & E. G. Peckham,1896,1,Mexico to Panama
27937,urn:lsid:nmbe.ch:spidersp:032147,Salticidae,Acragas,quadriguttatus,,F. O. Pickard-Cambridge,1901,1,Mexico to Panama
28092,urn:lsid:nmbe.ch:spidersp:032266,Salticidae,Alcmena,amabilis,,C. L. Koch,1846,0,Mexico
28114,urn:lsid:nmbe.ch:spidersp:032285,Salticidae,Amycus,flavolineatus,,C. L. Koch,1846,0,Mexico
28132,urn:lsid:nmbe.ch:spidersp:032299,Salticidae,Anicius,dolius,,Chamberlin,1925,0,Mexico
28205,urn:lsid:nmbe.ch:spidersp:032362,Salticidae,Ashtabula,glauca,,Simon,1901,0,Mexico
28228,urn:lsid:nmbe.ch:spidersp:032384,Salticidae,Attidops,cutleri,,Edwards,1999,0,"USA, Mexico"
28248,urn:lsid:nmbe.ch:spidersp:032399,Salticidae,Bagheera,kiplingi,,G. W. Peckham & E. G. Peckham,1896,0,Mexico to Costa Rica
28251,urn:lsid:nmbe.ch:spidersp:032400,Salticidae,Bagheera,prosper,,G. W. Peckham & E. G. Peckham,1901,1,"USA, Mexico"
28336,urn:lsid:nmbe.ch:spidersp:032479,Salticidae,Beata,hispida,,G. W. Peckham & E. G. Peckham,1901,1,Mexico
28425,urn:lsid:nmbe.ch:spidersp:032571,Salticidae,Breda,milvina,,C. L. Koch,1846,1,"Mexico, Panama, Trinidad, Brazil, Bolivia"
28576,urn:lsid:nmbe.ch:spidersp:032700,Salticidae,Chapoda,inermis,,F. O. Pickard-Cambridge,1901,1,Mexico to Panama
28661,urn:lsid:nmbe.ch:spidersp:032775,Salticidae,Sidusa,perdita,,Banks,1898,1,Mexico
28777,urn:lsid:nmbe.ch:spidersp:032870,Salticidae,Corythalia,binotata,,F. O. Pickard-Cambridge,1901,1,Mexico
28787,urn:lsid:nmbe.ch:spidersp:032878,Salticidae,Corythalia,circumcincta,,F. O. Pickard-Cambridge,1901,1,Mexico
28793,urn:lsid:nmbe.ch:spidersp:032883,Salticidae,Corythalia,cristata,,F. O. Pickard-Cambridge,1901,1,Mexico
28799,urn:lsid:nmbe.ch:spidersp:032889,Salticidae,Corythalia,excavata,,F. O. Pickard-Cambridge,1901,1,Mexico
28815,urn:lsid:nmbe.ch:spidersp:032904,Salticidae,Corythalia,nigriventer,,F. O. Pickard-Cambridge,1901,1,"Mexico, Panama"
28819,urn:lsid:nmbe.ch:spidersp:032908,Salticidae,Corythalia,opima,,G. W. Peckham & E. G. Peckham,1885,1,"USA, Mexico, Guatemala, El Salvador"
28822,urn:lsid:nmbe.ch:spidersp:032911,Salticidae,Corythalia,parvula,,G. W. Peckham & E. G. Peckham,1896,1,Mexico to Panama
28825,urn:lsid:nmbe.ch:spidersp:032913,Salticidae,Corythalia,penicillata,,F. O. Pickard-Cambridge,1901,1,"Mexico, Guatemala"
28829,urn:lsid:nmbe.ch:spidersp:032917,Salticidae,Corythalia,quadriguttata,,F. O. Pickard-Cambridge,1901,1,Mexico to Panama
28910,urn:lsid:nmbe.ch:spidersp:032987,Salticidae,Cotinusa,distincta,,G. W. Peckham & E. G. Peckham,1888,1,Mexico to Peru
28940,urn:lsid:nmbe.ch:spidersp:033011,Salticidae,Cylistella,adjacens,,O. Pickard-Cambridge,1896,1,"Mexico, Costa Rica"
28946,urn:lsid:nmbe.ch:spidersp:033017,Salticidae,Cylistella,scarabaeoides,,O. Pickard-Cambridge,1894,1,"Mexico, Panama"
29051,urn:lsid:nmbe.ch:spidersp:033114,Salticidae,Dendryphantes,pugnax,,C. L. Koch,1846,1,Mexico
29066,urn:lsid:nmbe.ch:spidersp:033129,Salticidae,Dendryphantes,strenuus,,C. L. Koch,1846,1,Mexico
29070,urn:lsid:nmbe.ch:spidersp:033131,Salticidae,Dendryphantes,zygoballoides,,Chamberlin,1924,0,Mexico
29181,urn:lsid:nmbe.ch:spidersp:033222,Salticidae,Eris,bulbosa,,Karsch,1880,1,Mexico
29190,urn:lsid:nmbe.ch:spidersp:033239,Salticidae,Eris,tricolor,,C. L. Koch,1846,1,Mexico
29191,urn:lsid:nmbe.ch:spidersp:033240,Salticidae,Eris,trimaculata,,Banks,1898,1,Mexico
29205,urn:lsid:nmbe.ch:spidersp:033255,Salticidae,Euophrys,banksi,,Roewer,1951,0,Mexico
29462,urn:lsid:nmbe.ch:spidersp:033466,Salticidae,Leptofreya,bifurcata,,F. O. Pickard-Cambridge,1901,1,"Mexico, Panama"
29476,urn:lsid:nmbe.ch:spidersp:033481,Salticidae,Tarkas,maculatipes,,F. O. Pickard-Cambridge,1901,1,"Mexico, Guatemala"
29481,urn:lsid:nmbe.ch:spidersp:033486,Salticidae,Freya,prominens,,F. O. Pickard-Cambridge,1901,1,Mexico to Panama
29482,urn:lsid:nmbe.ch:spidersp:033487,Salticidae,Freya,regia,,G. W. Peckham & E. G. Peckham,1896,1,"Mexico, Guatemala"
29492,urn:lsid:nmbe.ch:spidersp:033497,Salticidae,Frigga,pratensis,,G. W. Peckham & E. G. Peckham,1885,1,Mexico to Colombia
29498,urn:lsid:nmbe.ch:spidersp:040815,Salticidae,Fuentes,yucatan,,Ruiz & Brescovit,2007,0,"Mexico, Honduras"
29599,urn:lsid:nmbe.ch:spidersp:033594,Salticidae,Habronattus,abditus,,Griswold,1987,0,Mexico
29602,urn:lsid:nmbe.ch:spidersp:033597,Salticidae,Habronattus,altanus,,Gertsch,1934,1,"Canada, USA, Mexico"
29605,urn:lsid:nmbe.ch:spidersp:033600,Salticidae,Habronattus,ammophilus,,Chamberlin,1924,1,Mexico
29606,urn:lsid:nmbe.ch:spidersp:033601,Salticidae,Habronattus,anepsius,,Chamberlin,1924,1,"USA, Mexico"
29607,urn:lsid:nmbe.ch:spidersp:033602,Salticidae,Habronattus,aztecanus,,Banks,1898,1,Mexico
29609,urn:lsid:nmbe.ch:spidersp:033604,Salticidae,Habronattus,banksi,,G. W. Peckham & E. G. Peckham,1901,1,"Mexico to Panama, Jamaica"
29616,urn:lsid:nmbe.ch:spidersp:033611,Salticidae,Habronattus,californicus,,Banks,1904,1,"USA, Mexico"
29617,urn:lsid:nmbe.ch:spidersp:033612,Salticidae,Habronattus,cambridgei,,Bryant,1948,0,Mexico to Guatemala
29620,urn:lsid:nmbe.ch:spidersp:033615,Salticidae,Habronattus,carpus,,Griswold,1987,0,Mexico
29622,urn:lsid:nmbe.ch:spidersp:033617,Salticidae,Habronattus,clypeatus,,Banks,1895,1,"USA, Mexico"
29624,urn:lsid:nmbe.ch:spidersp:033619,Salticidae,Habronattus,coecatus,,Hentz,1846,1,"USA, Mexico, Bermuda"
29625,urn:lsid:nmbe.ch:spidersp:033620,Salticidae,Habronattus,cognatus,,G. W. Peckham & E. G. Peckham,1901,1,"Canada, USA, Mexico"
29626,urn:lsid:nmbe.ch:spidersp:033621,Salticidae,Habronattus,conjunctus,,Banks,1898,1,"USA, Mexico"
29627,urn:lsid:nmbe.ch:spidersp:033622,Salticidae,Habronattus,contingens,,Chamberlin,1925,1,Mexico
29631,urn:lsid:nmbe.ch:spidersp:033626,Salticidae,Habronattus,divaricatus,,Banks,1898,1,Mexico
29632,urn:lsid:nmbe.ch:spidersp:033627,Salticidae,Habronattus,dorotheae,,Gertsch & Mulaik,1936,1,"USA, Mexico"
29633,urn:lsid:nmbe.ch:spidersp:033628,Salticidae,Habronattus,dossenus,,Griswold,1987,0,Mexico
29634,urn:lsid:nmbe.ch:spidersp:033629,Salticidae,Habronattus,elegans,,G. W. Peckham & E. G. Peckham,1901,1,"USA, Mexico"
29638,urn:lsid:nmbe.ch:spidersp:033633,Salticidae,Habronattus,fallax,,G. W. Peckham & E. G. Peckham,1909,1,"USA, Mexico"
29641,urn:lsid:nmbe.ch:spidersp:033636,Salticidae,Habronattus,forticulus,,Gertsch & Mulaik,1936,1,"USA, Mexico"
29643,urn:lsid:nmbe.ch:spidersp:033638,Salticidae,Habronattus,geronimoi,,Griswold,1987,0,"USA, Mexico, Nicaragua"
29644,urn:lsid:nmbe.ch:spidersp:033639,Salticidae,Habronattus,gigas,,Griswold,1987,0,Mexico
29645,urn:lsid:nmbe.ch:spidersp:033640,Salticidae,Habronattus,hallani,,Richman,1973,1,"USA, Mexico"
29646,urn:lsid:nmbe.ch:spidersp:033641,Salticidae,Habronattus,hirsutus,,G. W. Peckham & E. G. Peckham,1888,1,"Canada, USA, Mexico"
29647,urn:lsid:nmbe.ch:spidersp:033642,Salticidae,Habronattus,huastecanus,,Griswold,1987,0,Mexico
29648,urn:lsid:nmbe.ch:spidersp:033643,Salticidae,Habronattus,icenoglei,,Griswold,1979,1,"USA, Mexico"
29649,urn:lsid:nmbe.ch:spidersp:033644,Salticidae,Habronattus,iviei,,Griswold,1987,0,Mexico
29651,urn:lsid:nmbe.ch:spidersp:033646,Salticidae,Habronattus,kawini,,Griswold,1979,1,"USA, Mexico"
29652,urn:lsid:nmbe.ch:spidersp:033647,Salticidae,Habronattus,klauseri,,G. W. Peckham & E. G. Peckham,1901,1,"USA, Mexico"
29655,urn:lsid:nmbe.ch:spidersp:033650,Salticidae,Habronattus,mataxus,,Griswold,1987,0,"USA, Mexico"
29657,urn:lsid:nmbe.ch:spidersp:033652,Salticidae,Habronattus,moratus,,Gertsch & Mulaik,1936,1,"USA, Mexico"
29659,urn:lsid:nmbe.ch:spidersp:033654,Salticidae,Habronattus,nahuatlanus,,Griswold,1987,0,Mexico
29667,urn:lsid:nmbe.ch:spidersp:033662,Salticidae,Habronattus,oregonensis,,G. W. Peckham & E. G. Peckham,1888,1,"Canada, USA, Mexico"
29670,urn:lsid:nmbe.ch:spidersp:033664,Salticidae,Habronattus,pochtecanus,,Griswold,1987,0,Mexico
29672,urn:lsid:nmbe.ch:spidersp:033666,Salticidae,Habronattus,pugillis,,Griswold,1987,0,"USA, Mexico"
29673,urn:lsid:nmbe.ch:spidersp:033667,Salticidae,Habronattus,pyrrithrix,,Chamberlin,1924,1,"USA, Mexico. Introduced to Hawaii"
29674,urn:lsid:nmbe.ch:spidersp:033668,Salticidae,Habronattus,renidens,,Griswold,1987,0,Mexico
29678,urn:lsid:nmbe.ch:spidersp:033671,Salticidae,Habronattus,schlingeri,,Griswold,1979,1,"USA, Mexico"
29679,urn:lsid:nmbe.ch:spidersp:033672,Salticidae,Habronattus,signatus,,Banks,1900,1,"USA, Mexico"
