speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
28092,urn:lsid:nmbe.ch:spidersp:032266,Salticidae,Alcmena,amabilis,,C. L. Koch,1846,0,Mexico
28114,urn:lsid:nmbe.ch:spidersp:032285,Salticidae,Amycus,flavolineatus,,C. L. Koch,1846,0,Mexico
28132,urn:lsid:nmbe.ch:spidersp:032299,Salticidae,Anicius,dolius,,Chamberlin,1925,0,Mexico
28205,urn:lsid:nmbe.ch:spidersp:032362,Salticidae,Ashtabula,glauca,,Simon,1901,0,Mexico
28336,urn:lsid:nmbe.ch:spidersp:032479,Salticidae,Beata,hispida,,G. W. Peckham & E. G. Peckham,1901,1,Mexico
28661,urn:lsid:nmbe.ch:spidersp:032775,Salticidae,Sidusa,perdita,,Banks,1898,1,Mexico
28777,urn:lsid:nmbe.ch:spidersp:032870,Salticidae,Corythalia,binotata,,F. O. Pickard-Cambridge,1901,1,Mexico
28787,urn:lsid:nmbe.ch:spidersp:032878,Salticidae,Corythalia,circumcincta,,F. O. Pickard-Cambridge,1901,1,Mexico
28793,urn:lsid:nmbe.ch:spidersp:032883,Salticidae,Corythalia,cristata,,F. O. Pickard-Cambridge,1901,1,Mexico
28799,urn:lsid:nmbe.ch:spidersp:032889,Salticidae,Corythalia,excavata,,F. O. Pickard-Cambridge,1901,1,Mexico
29051,urn:lsid:nmbe.ch:spidersp:033114,Salticidae,Dendryphantes,pugnax,,C. L. Koch,1846,1,Mexico
29066,urn:lsid:nmbe.ch:spidersp:033129,Salticidae,Dendryphantes,strenuus,,C. L. Koch,1846,1,Mexico
29070,urn:lsid:nmbe.ch:spidersp:033131,Salticidae,Dendryphantes,zygoballoides,,Chamberlin,1924,0,Mexico
29181,urn:lsid:nmbe.ch:spidersp:033222,Salticidae,Eris,bulbosa,,Karsch,1880,1,Mexico
29190,urn:lsid:nmbe.ch:spidersp:033239,Salticidae,Eris,tricolor,,C. L. Koch,1846,1,Mexico
29191,urn:lsid:nmbe.ch:spidersp:033240,Salticidae,Eris,trimaculata,,Banks,1898,1,Mexico
29205,urn:lsid:nmbe.ch:spidersp:033255,Salticidae,Euophrys,banksi,,Roewer,1951,0,Mexico
29599,urn:lsid:nmbe.ch:spidersp:033594,Salticidae,Habronattus,abditus,,Griswold,1987,0,Mexico
29605,urn:lsid:nmbe.ch:spidersp:033600,Salticidae,Habronattus,ammophilus,,Chamberlin,1924,1,Mexico
29607,urn:lsid:nmbe.ch:spidersp:033602,Salticidae,Habronattus,aztecanus,,Banks,1898,1,Mexico
29620,urn:lsid:nmbe.ch:spidersp:033615,Salticidae,Habronattus,carpus,,Griswold,1987,0,Mexico
29627,urn:lsid:nmbe.ch:spidersp:033622,Salticidae,Habronattus,contingens,,Chamberlin,1925,1,Mexico
29631,urn:lsid:nmbe.ch:spidersp:033626,Salticidae,Habronattus,divaricatus,,Banks,1898,1,Mexico
29633,urn:lsid:nmbe.ch:spidersp:033628,Salticidae,Habronattus,dossenus,,Griswold,1987,0,Mexico
29644,urn:lsid:nmbe.ch:spidersp:033639,Salticidae,Habronattus,gigas,,Griswold,1987,0,Mexico
29647,urn:lsid:nmbe.ch:spidersp:033642,Salticidae,Habronattus,huastecanus,,Griswold,1987,0,Mexico
29649,urn:lsid:nmbe.ch:spidersp:033644,Salticidae,Habronattus,iviei,,Griswold,1987,0,Mexico
29659,urn:lsid:nmbe.ch:spidersp:033654,Salticidae,Habronattus,nahuatlanus,,Griswold,1987,0,Mexico
29670,urn:lsid:nmbe.ch:spidersp:033664,Salticidae,Habronattus,pochtecanus,,Griswold,1987,0,Mexico
29674,urn:lsid:nmbe.ch:spidersp:033668,Salticidae,Habronattus,renidens,,Griswold,1987,0,Mexico
29680,urn:lsid:nmbe.ch:spidersp:033673,Salticidae,Habronattus,simplex,,G. W. Peckham & E. G. Peckham,1901,1,Mexico
29683,urn:lsid:nmbe.ch:spidersp:033676,Salticidae,Habronattus,tarascanus,,Griswold,1987,0,Mexico
29686,urn:lsid:nmbe.ch:spidersp:033679,Salticidae,Habronattus,tlaxcalanus,,Griswold,1987,0,Mexico
29691,urn:lsid:nmbe.ch:spidersp:033684,Salticidae,Habronattus,velivolus,,Griswold,1987,0,Mexico
29696,urn:lsid:nmbe.ch:spidersp:033689,Salticidae,Habronattus,zapotecanus,,Griswold,1987,0,Mexico
29697,urn:lsid:nmbe.ch:spidersp:033690,Salticidae,Habronattus,zebraneus,,F. O. Pickard-Cambridge,1901,0,Mexico
29970,urn:lsid:nmbe.ch:spidersp:033897,Salticidae,Hentzia,poenitens,,Chamberlin,1924,1,Mexico
30170,urn:lsid:nmbe.ch:spidersp:034096,Salticidae,Icius,ildefonsus,,Chamberlin,1924,0,Mexico
30412,urn:lsid:nmbe.ch:spidersp:034295,Salticidae,Lyssomanes,burrera,,Jiménez & Tejas,1993,0,Mexico
30420,urn:lsid:nmbe.ch:spidersp:034304,Salticidae,Lyssomanes,diversus,,Galiano,1980,0,Mexico
30438,urn:lsid:nmbe.ch:spidersp:034321,Salticidae,Lyssomanes,malinche,,Galiano,1980,0,Mexico
30453,urn:lsid:nmbe.ch:spidersp:034334,Salticidae,Lyssomanes,pescadero,,Jiménez & Tejas,1993,0,Mexico
30455,urn:lsid:nmbe.ch:spidersp:034336,Salticidae,Lyssomanes,placidus,,"G. W. Peckham, E. G. Peckham & Wheeler",1889,0,Mexico
30470,urn:lsid:nmbe.ch:spidersp:034353,Salticidae,Lyssomanes,temperatus,,Galiano,1980,0,Mexico
30777,urn:lsid:nmbe.ch:spidersp:034606,Salticidae,Messua,pura,,Bryant,1948,1,Mexico
30778,urn:lsid:nmbe.ch:spidersp:034607,Salticidae,Messua,tridentata,,F. O. Pickard-Cambridge,1901,1,Mexico
30788,urn:lsid:nmbe.ch:spidersp:034617,Salticidae,Metaphidippus,apicalis,,F. O. Pickard-Cambridge,1901,0,Mexico
30801,urn:lsid:nmbe.ch:spidersp:034630,Salticidae,Metaphidippus,dubitabilis,,G. W. Peckham & E. G. Peckham,1896,1,Mexico
30809,urn:lsid:nmbe.ch:spidersp:034638,Salticidae,Metaphidippus,gratus,,Bryant,1948,0,Mexico
30819,urn:lsid:nmbe.ch:spidersp:034649,Salticidae,Metaphidippus,nigropictus,,F. O. Pickard-Cambridge,1901,0,Mexico
30854,urn:lsid:nmbe.ch:spidersp:036705,Salticidae,Mexigonus,dentichelis,,F. O. Pickard-Cambridge,1901,1,Mexico
31533,urn:lsid:nmbe.ch:spidersp:035185,Salticidae,Paramarpissa,laeta,,Logunov & Cutler,1999,0,Mexico
31535,urn:lsid:nmbe.ch:spidersp:035187,Salticidae,Paramarpissa,sarta,,Logunov & Cutler,1999,0,Mexico
31536,urn:lsid:nmbe.ch:spidersp:035188,Salticidae,Paramarpissa,tibialis,,F. O. Pickard-Cambridge,1901,0,Mexico
31542,urn:lsid:nmbe.ch:spidersp:035458,Salticidae,Paraphidippus,fulgidus,,C. L. Koch,1846,1,Mexico
31544,urn:lsid:nmbe.ch:spidersp:035459,Salticidae,Paraphidippus,fuscipes,,C. L. Koch,1846,1,Mexico
31547,urn:lsid:nmbe.ch:spidersp:033230,Salticidae,Paraphidippus,laniipes,,F. O. Pickard-Cambridge,1901,0,Mexico
31549,urn:lsid:nmbe.ch:spidersp:033232,Salticidae,Paraphidippus,mexicanus,,G. W. Peckham & E. G. Peckham,1888,1,Mexico
31550,urn:lsid:nmbe.ch:spidersp:033234,Salticidae,Paraphidippus,nigropilosus,,Banks,1898,1,Mexico
31551,urn:lsid:nmbe.ch:spidersp:035477,Salticidae,Paraphidippus,nitens,,C. L. Koch,1846,1,Mexico
31583,urn:lsid:nmbe.ch:spidersp:035219,Salticidae,Pelegrina,clavator,,Maddison,1996,0,Mexico
31586,urn:lsid:nmbe.ch:spidersp:035222,Salticidae,Pelegrina,edrilana,,Maddison,1996,0,Mexico
31597,urn:lsid:nmbe.ch:spidersp:035233,Salticidae,Pelegrina,morelos,,Maddison,1996,0,Mexico
31598,urn:lsid:nmbe.ch:spidersp:035234,Salticidae,Pelegrina,neoleonis,,Maddison,1996,0,Mexico
31613,urn:lsid:nmbe.ch:spidersp:035249,Salticidae,Pelegrina,yucatecana,,Maddison,1996,0,Mexico
31628,urn:lsid:nmbe.ch:spidersp:035263,Salticidae,Pellenattus,cinctipes,,Banks,1898,1,Mexico
31630,urn:lsid:nmbe.ch:spidersp:035265,Salticidae,Pellenattus,corticolens,,Chamberlin,1924,1,Mexico
31739,urn:lsid:nmbe.ch:spidersp:035361,Salticidae,Phanias,flavostriatus,,F. O. Pickard-Cambridge,1901,0,Mexico
31741,urn:lsid:nmbe.ch:spidersp:035363,Salticidae,Phanias,furcillatus,,F. O. Pickard-Cambridge,1901,1,Mexico
31781,urn:lsid:nmbe.ch:spidersp:035403,Salticidae,Pachomius,hieroglyphicus,,F. O. Pickard-Cambridge,1901,1,Mexico
31800,urn:lsid:nmbe.ch:spidersp:039132,Salticidae,Phidippus,adonis,,Edwards,2004,0,Mexico
31804,urn:lsid:nmbe.ch:spidersp:038330,Salticidae,Phidippus,albulatus,,F. O. Pickard-Cambridge,1901,0,Mexico
31805,urn:lsid:nmbe.ch:spidersp:039133,Salticidae,Phidippus,amans,,Edwards,2004,0,Mexico
31823,urn:lsid:nmbe.ch:spidersp:039136,Salticidae,Phidippus,cerberus,,Edwards,2004,0,Mexico
31827,urn:lsid:nmbe.ch:spidersp:035450,Salticidae,Phidippus,cruentus,,F. O. Pickard-Cambridge,1901,0,Mexico
31829,urn:lsid:nmbe.ch:spidersp:039138,Salticidae,Phidippus,dianthus,,Edwards,2004,0,Mexico
31840,urn:lsid:nmbe.ch:spidersp:039142,Salticidae,Phidippus,maddisoni,,Edwards,2004,0,Mexico
31842,urn:lsid:nmbe.ch:spidersp:039143,Salticidae,Phidippus,mimicus,,Edwards,2004,0,Mexico
31851,urn:lsid:nmbe.ch:spidersp:039147,Salticidae,Phidippus,pompatus,,Edwards,2004,0,Mexico
31869,urn:lsid:nmbe.ch:spidersp:039152,Salticidae,Phidippus,venus,,Edwards,2004,0,Mexico
31875,urn:lsid:nmbe.ch:spidersp:039154,Salticidae,Phidippus,zethus,,Edwards,2004,0,Mexico
32098,urn:lsid:nmbe.ch:spidersp:035679,Salticidae,Plexippus,seladonicus,,C. L. Koch,1846,0,Mexico
32101,urn:lsid:nmbe.ch:spidersp:035683,Salticidae,Plexippus,taeniatus,,C. L. Koch,1846,0,Mexico
32550,urn:lsid:nmbe.ch:spidersp:036079,Salticidae,Sassacus,alboguttatus,,F. O. Pickard-Cambridge,1901,1,Mexico
32553,urn:lsid:nmbe.ch:spidersp:041666,Salticidae,Sassacus,aztecus,,Richman,2008,0,Mexico
32567,urn:lsid:nmbe.ch:spidersp:041665,Salticidae,Sassacus,samalayucae,,Richman,2008,0,Mexico
32633,urn:lsid:nmbe.ch:spidersp:036143,Salticidae,Sidusa,nigrina,,F. O. Pickard-Cambridge,1901,0,Mexico
32718,urn:lsid:nmbe.ch:spidersp:036214,Salticidae,Attulus,cautus,,G. W. Peckham & E. G. Peckham,1888,1,Mexico
32763,urn:lsid:nmbe.ch:spidersp:036258,Salticidae,Mexigonus,peninsulanus,,Banks,1898,1,Mexico
53320,urn:lsid:nmbe.ch:spidersp:046776,Salticidae,Lyssomanes,maddisoni,,Logunov,2014,0,Mexico
53323,urn:lsid:nmbe.ch:spidersp:046779,Salticidae,Lyssomanes,mexicanus,,Logunov,2014,0,Mexico
54294,urn:lsid:nmbe.ch:spidersp:047866,Salticidae,Maeota,setastrobilaris,,Garcilazo-Cruz & Álvarez-Padilla,2015,0,Mexico
55440,urn:lsid:nmbe.ch:spidersp:049025,Salticidae,Habronattus,aestus,,Maddison,2017,0,Mexico
55441,urn:lsid:nmbe.ch:spidersp:049026,Salticidae,Habronattus,chamela,,Maddison,2017,0,Mexico
55442,urn:lsid:nmbe.ch:spidersp:049027,Salticidae,Habronattus,empyrus,,Maddison,2017,0,Mexico
55444,urn:lsid:nmbe.ch:spidersp:049029,Salticidae,Habronattus,roberti,,Maddison,2017,0,Mexico
56193,urn:lsid:nmbe.ch:spidersp:049809,Salticidae,Thiodina,perian,,Bustamante & Ruiz,2017,0,Mexico
57573,urn:lsid:nmbe.ch:spidersp:051283,Salticidae,Anicius,chiapanecus,,Guerrero-Fuentes & Francke,2019,0,Mexico
